Ширина,Длина,Насекомое
10,50,гусеница
20,30,жук
25,30,жук
20,60,гусеница
15,70,гусеница
40,40,жук
30,45,жук
20,45,гусеница
40,30,жук
21,45,жук
37,31,жук
37,42,жук
26,40,жук
14,50,жук
28,18,гусеница
46,10,гусеница
26,43,жук
23,49,жук
36,23,гусеница
22,13,гусеница
12,23,гусеница
30,44,жук
25,10,гусеница
12,46,гусеница
40,13,гусеница
39,38,жук
28,48,жук
34,42,жук
26,40,жук
12,46,гусеница
48,37,жук
33,36,жук
21,24,гусеница
24,26,гусеница
41,37,жук
37,27,жук
36,39,жук
25,13,гусеница
32,16,гусеница
41,36,жук
34,26,жук
23,22,гусеница
13,15,гусеница
34,45,жук
45,27,жук
21,49,жук
27,50,жук
50,43,жук
17,34,гусеница
